Flow Regime,C:Q,Frequency,Method,Mean,SD,95% CI,Median,Minimum,Maximum,Outliers
Baseflow,Diluting,Weekly,Beale,11.57,1.66,"8.32, 14.82",11.51,7.82,17.44,3
Baseflow,Diluting,Weekly,Composite,-2.8,1.48,"-5.7, 0.1",-2.82,-6.36,0.83,7
Baseflow,Diluting,Weekly,Linear Interpolation,17.67,1.77,"14.2, 21.14",17.68,13.09,22.7,7
Baseflow,Diluting,Weekly,Rating,-2.98,1.47,"-5.86, -0.1",-3.07,-6.19,1.64,2
Baseflow,Diluting,Biweekly,Beale,14.06,2.6,"8.96, 19.16",13.91,8.49,21.14,1
Baseflow,Diluting,Biweekly,Composite,-2.55,2.36,"-7.18, 2.08",-2.75,-7.58,4,8
Baseflow,Diluting,Biweekly,Linear Interpolation,18.28,3.06,"12.28, 24.28",18.34,11.55,29.65,5
Baseflow,Diluting,Biweekly,Rating,-1.84,2.13,"-6.01, 2.33",-1.55,-6.22,2.58,2
Baseflow,Diluting,Monthly,Beale,26.23,4.22,"17.96, 34.5",26.2,15.96,42.94,14
Baseflow,Diluting,Monthly,Composite,-0.91,3.67,"-8.1, 6.28",-0.92,-10.53,14.97,10
Baseflow,Diluting,Monthly,Linear Interpolation,25.58,4.25,"17.25, 33.91",25.24,16.31,46.24,15
Baseflow,Diluting,Monthly,Rating,1.32,3.38,"-5.3, 7.94",1.12,-6.96,12.27,12
Baseflow,Chemostatic,Weekly,Beale,-0.61,0.71,"-2, 0.78",-0.62,-1.94,0.89,3
Baseflow,Chemostatic,Weekly,Composite,-0.08,0.97,"-1.98, 1.82",-0.02,-2.38,1.91,6
Baseflow,Chemostatic,Weekly,Linear Interpolation,-0.53,0.71,"-1.92, 0.86",-0.51,-2.2,0.9,1
Baseflow,Chemostatic,Weekly,Rating,-0.45,0.91,"-2.23, 1.33",-0.48,-2.28,1.63,0
Baseflow,Chemostatic,Biweekly,Beale,-0.51,1.09,"-2.65, 1.63",-0.54,-3.29,2.53,8
Baseflow,Chemostatic,Biweekly,Composite,-0.05,1.6,"-3.19, 3.09",-0.03,-4.07,3.48,11
Baseflow,Chemostatic,Biweekly,Linear Interpolation,-0.55,1.06,"-2.63, 1.53",-0.64,-3.13,2.68,6
Baseflow,Chemostatic,Biweekly,Rating,-0.33,1.64,"-3.54, 2.88",-0.3,-4.91,3.53,13
Baseflow,Chemostatic,Monthly,Beale,-0.53,1.48,"-3.43, 2.37",-0.38,-3.78,3.25,3
Baseflow,Chemostatic,Monthly,Composite,0.27,2.83,"-5.28, 5.82",0.21,-4.96,6.13,0
Baseflow,Chemostatic,Monthly,Linear Interpolation,-0.54,1.47,"-3.42, 2.34",-0.5,-3.77,3.25,3
Baseflow,Chemostatic,Monthly,Rating,-0.09,2.84,"-5.66, 5.48",-0.33,-5.52,5.82,0
Baseflow,Enriching,Weekly,Beale,-36,1.63,"-39.19, -32.81",-36,-38.88,-32.31,0
Baseflow,Enriching,Weekly,Composite,-0.47,4.26,"-8.82, 7.88",-0.07,-9.64,7.34,0
Baseflow,Enriching,Weekly,Linear Interpolation,-42.74,1.2,"-45.09, -40.39",-42.65,-45.3,-40.2,0
Baseflow,Enriching,Weekly,Rating,-2.44,4.34,"-10.95, 6.07",-2.1,-11.08,5.43,0
Baseflow,Enriching,Biweekly,Beale,-43.66,1.73,"-47.05, -40.27",-43.66,-48.16,-39.18,2
Baseflow,Enriching,Biweekly,Composite,4.98,7.77,"-10.25, 20.21",4.42,-10.17,21.72,1
Baseflow,Enriching,Biweekly,Linear Interpolation,-46.11,1.55,"-49.15, -43.07",-46.06,-49.98,-42.1,2
Baseflow,Enriching,Biweekly,Rating,-0.26,7.28,"-14.53, 14.01",-0.78,-14.48,15.07,0
Baseflow,Enriching,Monthly,Beale,-51.98,1.53,"-54.98, -48.98",-51.96,-56.45,-48.22,4
Baseflow,Enriching,Monthly,Composite,-0.7,11.93,"-24.08, 22.68",-1.87,-18.42,45.39,5
Baseflow,Enriching,Monthly,Linear Interpolation,-52.15,1.51,"-55.11, -49.19",-52.31,-56.95,-48.38,2
Baseflow,Enriching,Monthly,Rating,-12.49,10.08,"-32.25, 7.27",-13.2,-27.21,27.6,4
Baseflow,No-Pattern,Weekly,Beale,-0.58,3.9,"-8.22, 7.06",-0.93,-9.59,10.32,5
Baseflow,No-Pattern,Weekly,Composite,-0.19,5.36,"-10.7, 10.32",-0.43,-13.81,13.26,8
Baseflow,No-Pattern,Weekly,Linear Interpolation,-0.31,3.98,"-8.11, 7.49",-0.3,-11.13,8.93,7
Baseflow,No-Pattern,Weekly,Rating,-3.8,5.37,"-14.33, 6.73",-4.34,-17.28,10.74,8
Baseflow,No-Pattern,Biweekly,Beale,-0.23,5.67,"-11.34, 10.88",-0.45,-14.63,18.85,14
Baseflow,No-Pattern,Biweekly,Composite,1.13,7.93,"-14.41, 16.67",0.61,-19.3,24.94,6
Baseflow,No-Pattern,Biweekly,Linear Interpolation,-0.11,5.68,"-11.24, 11.02",-0.21,-12.51,19.09,11
Baseflow,No-Pattern,Biweekly,Rating,-1.97,8.09,"-17.83, 13.89",-2.42,-22.33,18.99,6
Baseflow,No-Pattern,Monthly,Beale,-0.72,7.74,"-15.89, 14.45",-0.85,-17.21,21.07,6
Baseflow,No-Pattern,Monthly,Composite,3.8,16.44,"-28.42, 36.02",-0.59,-26.99,50.45,8
Baseflow,No-Pattern,Monthly,Linear Interpolation,-0.68,7.81,"-15.99, 14.63",-1.29,-17.5,22.03,5
Baseflow,No-Pattern,Monthly,Rating,0.97,17.59,"-33.51, 35.45",-1.78,-30.52,72.78,7
Stormflow,Diluting,Weekly,Beale,42.62,20.31,"2.81, 82.43",39.97,21.01,172.71,12
Stormflow,Diluting,Weekly,Composite,-27.19,33.43,"-92.71, 38.33",-32.31,-44.19,234.46,7
Stormflow,Diluting,Weekly,Linear Interpolation,112.51,40.52,"33.09, 191.93",107.35,74.1,435.34,10
Stormflow,Diluting,Weekly,Rating,-28.85,2.62,"-33.99, -23.71",-28.5,-38.9,-21.91,12
Stormflow,Diluting,Biweekly,Beale,113.58,236.28,"-349.53, 576.69",86.62,57.71,2433.73,13
Stormflow,Diluting,Biweekly,Composite,-24.42,33.98,"-91.02, 42.18",-29.97,-46.64,249.91,6
Stormflow,Diluting,Biweekly,Linear Interpolation,131.29,43.89,"45.27, 217.31",125.04,89.48,444.58,6
Stormflow,Diluting,Biweekly,Rating,-24.86,3.53,"-31.78, -17.94",-24.61,-35.87,-4.64,7
Stormflow,Diluting,Monthly,Beale,168.24,25.7,"117.87, 218.61",171.07,4.07,249.66,10
Stormflow,Diluting,Monthly,Composite,-28.53,8.58,"-45.35, -11.71",-29.25,-74.13,-12,7
Stormflow,Diluting,Monthly,Linear Interpolation,119.57,17.4,"85.47, 153.67",120.83,-20.01,149.06,9
Stormflow,Diluting,Monthly,Rating,-13.43,7.15,"-27.44, 0.58",-12.91,-68.06,-1.39,8
Stormflow,Chemostatic,Weekly,Beale,-0.75,1.27,"-3.24, 1.74",-0.8,-3.72,3.71,3
Stormflow,Chemostatic,Weekly,Composite,-0.11,1.99,"-4.01, 3.79",0.05,-4.52,4.08,14
Stormflow,Chemostatic,Weekly,Linear Interpolation,-0.41,1.12,"-2.61, 1.79",-0.41,-3.59,2.01,6
Stormflow,Chemostatic,Weekly,Rating,-0.47,1.8,"-4, 3.06",-0.25,-4.17,4.23,3
Stormflow,Chemostatic,Biweekly,Beale,-0.45,1.34,"-3.08, 2.18",-0.4,-4.23,2.35,10
Stormflow,Chemostatic,Biweekly,Composite,-0.13,3.26,"-6.52, 6.26",-0.03,-7.79,6.76,6
Stormflow,Chemostatic,Biweekly,Linear Interpolation,-0.56,1.33,"-3.17, 2.05",-0.54,-3.6,3.36,4
Stormflow,Chemostatic,Biweekly,Rating,-0.23,3.32,"-6.74, 6.28",-0.02,-9.18,6.98,9
Stormflow,Chemostatic,Monthly,Beale,-0.45,1.79,"-3.96, 3.06",-0.26,-3.97,3.32,0
Stormflow,Chemostatic,Monthly,Composite,0.59,5.83,"-10.84, 12.02",-0.25,-11.01,15.05,3
Stormflow,Chemostatic,Monthly,Linear Interpolation,-0.46,1.84,"-4.07, 3.15",-0.41,-4.45,3.98,5
Stormflow,Chemostatic,Monthly,Rating,0.29,6.09,"-11.65, 12.23",0.34,-12.13,14.74,2
Stormflow,Enriching,Weekly,Beale,-85.59,0.78,"-87.12, -84.06",-85.68,-87.27,-83.56,2
Stormflow,Enriching,Weekly,Composite,-15.34,8.37,"-31.75, 1.07",-15.51,-35.16,20.9,9
Stormflow,Enriching,Weekly,Linear Interpolation,-93.43,0.23,"-93.88, -92.98",-93.46,-93.89,-92.91,2
Stormflow,Enriching,Weekly,Rating,-20.15,8,"-35.83, -4.47",-20.27,-39.06,14.75,9
Stormflow,Enriching,Biweekly,Beale,-94.02,0.27,"-94.55, -93.49",-94.03,-94.64,-93.37,5
Stormflow,Enriching,Biweekly,Composite,-16.19,17.54,"-50.57, 18.19",-19.5,-34.66,117.56,7
Stormflow,Enriching,Biweekly,Linear Interpolation,-95.41,0.18,"-95.76, -95.06",-95.41,-95.8,-94.96,1
Stormflow,Enriching,Biweekly,Rating,-27.2,16.07,"-58.7, 4.3",-29.04,-46.23,98.85,6
Stormflow,Enriching,Monthly,Beale,-96.58,0.16,"-96.89, -96.27",-96.58,-96.95,-96.22,2
Stormflow,Enriching,Monthly,Composite,-53.29,10.23,"-73.34, -33.24",-54.7,-70.66,-15.87,6
Stormflow,Enriching,Monthly,Linear Interpolation,-96.62,0.15,"-96.91, -96.33",-96.61,-97.04,-96.28,3
Stormflow,Enriching,Monthly,Rating,-71.46,6.65,"-84.49, -58.43",-72.36,-82.42,-42.93,10
Stormflow,No-Pattern,Weekly,Beale,-1.09,7.14,"-15.08, 12.9",-1.35,-21.79,21.8,6
Stormflow,No-Pattern,Weekly,Composite,-0.62,10.56,"-21.32, 20.08",-0.3,-33.1,31.85,9
Stormflow,No-Pattern,Weekly,Linear Interpolation,-0.2,5.3,"-10.59, 10.19",0.12,-13.76,10.59,12
Stormflow,No-Pattern,Weekly,Rating,-4.33,10.31,"-24.54, 15.88",-5.62,-35.97,24.68,8
Stormflow,No-Pattern,Biweekly,Beale,-0.19,6.83,"-13.58, 13.2",-0.6,-17.72,22.21,4
Stormflow,No-Pattern,Biweekly,Composite,2.23,17.34,"-31.76, 36.22",-0.7,-34.31,44.02,5
Stormflow,No-Pattern,Biweekly,Linear Interpolation,0.13,7.1,"-13.79, 14.05",0.25,-16.81,20.47,7
Stormflow,No-Pattern,Biweekly,Rating,-0.79,17.24,"-34.58, 33",-4.72,-35.22,40.24,4
Stormflow,No-Pattern,Monthly,Beale,-0.71,9.05,"-18.45, 17.03",-0.87,-23.16,21.62,5
Stormflow,No-Pattern,Monthly,Composite,8.44,32.71,"-55.67, 72.55",0.41,-53.68,111.91,5
Stormflow,No-Pattern,Monthly,Linear Interpolation,-0.43,9.53,"-19.11, 18.25",-1.55,-19.62,27.33,4
Stormflow,No-Pattern,Monthly,Rating,6.82,37.56,"-66.8, 80.44",-1.39,-56.89,166.1,3
Unaltered,Diluting,Weekly,Beale,12.24,19.92,"-26.8, 51.28",8.84,1.87,130.42,9
Unaltered,Diluting,Weekly,Composite,-5.99,23.96,"-52.95, 40.97",-10.07,-15.45,151.16,7
Unaltered,Diluting,Weekly,Linear Interpolation,22.81,30.35,"-36.68, 82.3",17.97,11.03,228.85,7
Unaltered,Diluting,Weekly,Rating,-10.31,2.47,"-15.15, -5.47",-10.46,-16.15,-0.97,4
Unaltered,Diluting,Biweekly,Beale,24.66,65.53,"-103.78, 153.1",14.46,-8.48,554.89,9
Unaltered,Diluting,Biweekly,Composite,-1.08,46.67,"-92.55, 90.39",-9.03,-26.39,334.53,9
Unaltered,Diluting,Biweekly,Linear Interpolation,29.99,61.17,"-89.9, 149.88",19.89,-3.61,497.3,9
Unaltered,Diluting,Biweekly,Rating,-8.02,4.32,"-16.49, 0.45",-8.2,-26.1,15.39,6
Unaltered,Diluting,Monthly,Beale,27.69,6.31,"15.32, 40.06",27.72,2.37,41.78,9
Unaltered,Diluting,Monthly,Composite,-8.14,4.69,"-17.33, 1.05",-7.74,-24.75,4.45,8
Unaltered,Diluting,Monthly,Linear Interpolation,26.05,5.8,"14.68, 37.42",25.98,3.44,40.75,9
Unaltered,Diluting,Monthly,Rating,-5.85,4.38,"-14.43, 2.73",-5.51,-22.32,5.61,8
Unaltered,Chemostatic,Weekly,Beale,-0.64,0.76,"-2.13, 0.85",-0.65,-2.18,1.21,1
Unaltered,Chemostatic,Weekly,Composite,-0.09,1.11,"-2.27, 2.09",0.06,-2.69,2.32,9
Unaltered,Chemostatic,Weekly,Linear Interpolation,-0.56,0.75,"-2.03, 0.91",-0.51,-2.46,0.96,1
Unaltered,Chemostatic,Weekly,Rating,-0.48,1.03,"-2.5, 1.54",-0.46,-2.53,2.06,1
Unaltered,Chemostatic,Biweekly,Beale,-0.52,1.12,"-2.72, 1.68",-0.55,-3.49,2.5,8
Unaltered,Chemostatic,Biweekly,Composite,-0.07,1.84,"-3.68, 3.54",-0.09,-4.6,4,9
Unaltered,Chemostatic,Biweekly,Linear Interpolation,-0.59,1.09,"-2.73, 1.55",-0.7,-3.2,2.72,6
Unaltered,Chemostatic,Biweekly,Rating,-0.34,1.9,"-4.06, 3.38",-0.22,-5.64,3.89,13
Unaltered,Chemostatic,Monthly,Beale,-0.54,1.51,"-3.5, 2.42",-0.34,-3.86,3.23,4
Unaltered,Chemostatic,Monthly,Composite,0.34,3.28,"-6.09, 6.77",0.01,-5.83,7.48,0
Unaltered,Chemostatic,Monthly,Linear Interpolation,-0.57,1.51,"-3.53, 2.39",-0.57,-3.92,3.34,3
Unaltered,Chemostatic,Monthly,Rating,-0.03,3.36,"-6.62, 6.56",-0.26,-6.42,6.74,0
Unaltered,Enriching,Weekly,Beale,-48.64,1.51,"-51.6, -45.68",-48.8,-51.49,-45.2,3
Unaltered,Enriching,Weekly,Composite,-0.46,6.92,"-14.02, 13.1",-0.23,-18.02,27.41,9
Unaltered,Enriching,Weekly,Linear Interpolation,-56.99,0.98,"-58.91, -55.07",-57.05,-59.24,-54.98,2
Unaltered,Enriching,Weekly,Rating,-3.33,7.03,"-17.11, 10.45",-3.12,-21.41,25.21,11
Unaltered,Enriching,Biweekly,Beale,-58.56,1.41,"-61.32, -55.8",-58.58,-61.66,-55.26,3
Unaltered,Enriching,Biweekly,Composite,8.2,19.73,"-30.47, 46.87",4.49,-13.45,159.33,7
Unaltered,Enriching,Biweekly,Linear Interpolation,-61.05,1.25,"-63.5, -58.6",-60.99,-63.65,-58.19,3
Unaltered,Enriching,Biweekly,Rating,0.28,18.58,"-36.14, 36.7",-2.69,-20.64,147.55,6
Unaltered,Enriching,Monthly,Beale,-65.89,1.36,"-68.56, -63.22",-65.89,-70.34,-61.75,8
Unaltered,Enriching,Monthly,Composite,0.24,17.65,"-34.35, 34.83",-2.07,-29.76,50.5,7
Unaltered,Enriching,Monthly,Linear Interpolation,-66.09,1.29,"-68.62, -63.56",-65.99,-70.85,-62.69,6
Unaltered,Enriching,Monthly,Rating,-17.9,14.13,"-45.59, 9.79",-19.43,-46.1,24.01,10
Unaltered,No-Pattern,Weekly,Beale,-0.67,4.1,"-8.71, 7.37",-1.23,-10.11,11.55,5
Unaltered,No-Pattern,Weekly,Composite,-0.27,6.05,"-12.13, 11.59",-0.52,-15.65,16.19,8
Unaltered,No-Pattern,Weekly,Linear Interpolation,-0.35,4.08,"-8.35, 7.65",-0.54,-11.49,9.1,8
Unaltered,No-Pattern,Weekly,Rating,-3.92,6.03,"-15.74, 7.9",-4.39,-20.35,12.71,8
Unaltered,No-Pattern,Biweekly,Beale,-0.21,5.8,"-11.58, 11.16",-0.35,-15.29,19.4,11
Unaltered,No-Pattern,Biweekly,Composite,1.37,9.23,"-16.72, 19.46",0.44,-21.4,26.28,10
Unaltered,No-Pattern,Biweekly,Linear Interpolation,-0.07,5.81,"-11.46, 11.32",-0.14,-12.9,19.47,12
Unaltered,No-Pattern,Biweekly,Rating,-1.74,9.4,"-20.16, 16.68",-2.56,-24.68,20.44,6
Unaltered,No-Pattern,Monthly,Beale,-0.75,7.87,"-16.18, 14.68",-0.8,-16.99,20.84,7
Unaltered,No-Pattern,Monthly,Composite,4.57,18.88,"-32.43, 41.57",-0.59,-31.34,58.73,5
Unaltered,No-Pattern,Monthly,Linear Interpolation,-0.7,7.99,"-16.36, 14.96",-1.32,-17.47,22.41,5
Unaltered,No-Pattern,Monthly,Rating,2.02,21.01,"-39.16, 43.2",-2.22,-35.23,89.81,7
